case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Commercial,2012,Maharashtra,High,9,313,0.32,26.45
Property,2010,Karnataka,High,30,551,0.49,39.77
Family,2016,Tamil Nadu,High,17,498,0.71,25.76
Criminal,2012,Uttar Pradesh,Supreme,35,261,0.3,57.35
Criminal,2016,Uttar Pradesh,High,12,368,0.48,32.21
Commercial,2016,Maharashtra,District,13,384,0.56,28.67
Criminal,2020,Uttar Pradesh,District,17,599,0.52,31.93
Family,2023,Karnataka,District,6,318,0.74,7.79
Family,2012,Delhi,High,36,699,0.5,34.82
Commercial,2012,Tamil Nadu,Supreme,35,569,0.81,51.82
Criminal,2019,Uttar Pradesh,Supreme,12,751,0.61,50.66
Family,2013,Tamil Nadu,High,14,739,0.81,28.11
Criminal,2013,Uttar Pradesh,High,20,738,0.38,41.39
Property,2014,Uttar Pradesh,District,13,560,0.61,13.53
Family,2015,Tamil Nadu,High,6,231,0.64,17.27
Property,2022,Karnataka,District,35,712,0.85,24.75
Commercial,2015,Maharashtra,District,10,229,0.42,20.33
Civil,2014,Tamil Nadu,High,34,681,0.64,41.89
Civil,2020,Tamil Nadu,District,12,258,0.31,25.67
Property,2011,Delhi,High,13,711,0.75,22.9
Family,2022,Karnataka,Supreme,22,680,0.79,42.81
Civil,2010,Tamil Nadu,Supreme,37,292,0.44,53.96
Property,2013,Delhi,High,22,643,0.56,26.84
Commercial,2022,Karnataka,District,32,497,0.36,34.82
Family,2011,Maharashtra,Supreme,31,647,0.78,46.8
Family,2010,Uttar Pradesh,High,30,684,0.88,31.84
Criminal,2016,Delhi,High,30,665,0.82,39.66
Civil,2021,Tamil Nadu,Supreme,25,239,0.75,43.25
Property,2023,Delhi,High,4,308,0.68,12.82
Criminal,2018,Tamil Nadu,Supreme,32,439,0.85,54.19
Family,2012,Uttar Pradesh,District,22,369,0.68,21.5
Commercial,2017,Tamil Nadu,District,20,455,0.63,22.39
Family,2021,Tamil Nadu,High,32,774,0.47,39.58
Criminal,2023,Uttar Pradesh,District,33,746,0.37,39.86
Property,2012,Maharashtra,High,3,635,0.59,22.12
Civil,2019,Tamil Nadu,Supreme,36,451,0.49,57.74
Criminal,2018,Maharashtra,High,18,390,0.53,29.93
Family,2011,Delhi,High,32,613,0.52,34.17
Civil,2017,Tamil Nadu,District,23,748,0.8,31.31
Criminal,2022,Tamil Nadu,Supreme,37,431,0.56,54.13
Property,2015,Uttar Pradesh,District,23,557,0.32,22.6
Property,2015,Karnataka,High,32,221,0.64,26.99
Commercial,2012,Uttar Pradesh,District,29,271,0.44,25.31
Property,2022,Delhi,District,29,534,0.74,22.87
Civil,2013,Tamil Nadu,District,20,613,0.84,27.48
Commercial,2011,Delhi,High,12,551,0.51,30.17
Commercial,2010,Maharashtra,High,12,552,0.88,30.25
Civil,2013,Maharashtra,Supreme,9,205,0.3,39.86
Family,2017,Uttar Pradesh,High,21,576,0.8,31.24
Civil,2020,Delhi,District,4,250,0.69,11.94
Civil,2013,Uttar Pradesh,Supreme,8,419,0.43,40.77
Commercial,2017,Uttar Pradesh,High,10,768,0.9,28.48
Commercial,2019,Tamil Nadu,District,38,268,0.39,32.2
Commercial,2015,Karnataka,Supreme,31,215,0.36,46.28
Criminal,2020,Delhi,High,33,313,0.64,41.46
Commercial,2017,Uttar Pradesh,High,20,436,0.53,32.23
Property,2010,Uttar Pradesh,High,39,476,0.83,31.17
Family,2015,Maharashtra,Supreme,34,769,0.37,48.06
Civil,2020,Tamil Nadu,Supreme,9,250,0.44,39.61
Property,2011,Uttar Pradesh,Supreme,28,742,0.82,38.51
Civil,2013,Delhi,Supreme,30,243,0.62,52.93
Commercial,2012,Delhi,High,32,521,0.4,37.85
Property,2010,Delhi,High,13,790,0.84,24.34
Criminal,2020,Karnataka,Supreme,34,239,0.67,55.42
Property,2021,Delhi,High,18,698,0.4,32.37
Civil,2014,Tamil Nadu,High,24,242,0.63,29.13
Property,2023,Karnataka,District,32,640,0.42,30.72
Property,2021,Maharashtra,District,9,293,0.31,18.15
Criminal,2018,Karnataka,Supreme,36,702,0.41,62.51
Family,2023,Uttar Pradesh,District,24,621,0.56,26.86
Civil,2019,Uttar Pradesh,District,5,673,0.79,15.66
Family,2014,Tamil Nadu,Supreme,3,267,0.75,29.17
Property,2021,Tamil Nadu,Supreme,5,302,0.63,28.51
Criminal,2012,Delhi,High,29,663,0.65,43.49
Commercial,2012,Delhi,High,4,501,0.52,28.23
Criminal,2017,Delhi,High,17,564,0.73,33.62
Civil,2016,Maharashtra,High,14,229,0.78,32.22
Criminal,2015,Delhi,High,22,765,0.58,40.34
Property,2014,Uttar Pradesh,District,32,201,0.67,14.81
Civil,2012,Delhi,High,20,729,0.83,41.15
Civil,2022,Tamil Nadu,High,22,551,0.79,38.06
Commercial,2014,Maharashtra,District,15,214,0.74,14.41
Property,2019,Tamil Nadu,High,37,477,0.78,35.75
Criminal,2018,Uttar Pradesh,District,13,237,0.47,31.44
Family,2023,Karnataka,High,14,718,0.55,31.32
Property,2019,Maharashtra,High,3,261,0.63,12.51
Criminal,2017,Delhi,District,5,770,0.67,26.29
Commercial,2018,Tamil Nadu,High,7,646,0.76,24.67
Civil,2020,Delhi,Supreme,13,313,0.59,48.0
Commercial,2015,Uttar Pradesh,High,25,343,0.73,29.5
Civil,2010,Tamil Nadu,High,32,646,0.41,41.81
Criminal,2023,Delhi,High,27,501,0.74,42.09
Civil,2019,Maharashtra,High,14,709,0.52,36.86
Property,2021,Uttar Pradesh,District,11,426,0.68,15.73
Commercial,2015,Uttar Pradesh,District,38,251,0.39,33.56
Commercial,2021,Uttar Pradesh,Supreme,19,212,0.54,38.43
Property,2020,Maharashtra,High,34,210,0.68,28.05
Criminal,2017,Karnataka,High,8,657,0.44,30.64
Family,2019,Karnataka,High,28,456,0.79,30.55
Commercial,2017,Maharashtra,Supreme,6,597,0.46,37.88
Civil,2015,Uttar Pradesh,Supreme,18,388,0.88,45.41
Family,2014,Tamil Nadu,Supreme,18,574,0.75,37.26
Civil,2012,Tamil Nadu,Supreme,9,572,0.76,36.04
Family,2016,Tamil Nadu,District,22,563,0.59,20.62
Property,2012,Tamil Nadu,District,11,738,0.82,18.91
Property,2021,Tamil Nadu,Supreme,23,515,0.39,39.3
Criminal,2011,Karnataka,District,19,282,0.37,30.49
Property,2012,Tamil Nadu,High,22,670,0.57,31.21
Criminal,2015,Tamil Nadu,High,27,389,0.59,45.25
Commercial,2022,Karnataka,High,30,737,0.67,31.78
Criminal,2010,Karnataka,District,37,318,0.35,41.79
Family,2012,Tamil Nadu,District,21,636,0.54,30.12
Family,2021,Karnataka,District,38,601,0.41,34.73
Property,2019,Uttar Pradesh,High,20,339,0.89,21.88
Property,2010,Delhi,High,16,585,0.32,28.49
Family,2018,Delhi,District,7,297,0.75,5.74
Property,2013,Karnataka,District,28,629,0.89,24.5
Criminal,2015,Karnataka,Supreme,30,653,0.54,52.58
Civil,2021,Tamil Nadu,High,26,223,0.62,41.2
Property,2017,Delhi,High,20,496,0.59,30.26
Civil,2014,Uttar Pradesh,District,18,669,0.55,28.12
Criminal,2016,Delhi,High,26,260,0.3,33.12
Commercial,2010,Maharashtra,High,10,273,0.86,24.75
Commercial,2019,Uttar Pradesh,High,27,295,0.89,33.45
Commercial,2022,Karnataka,Supreme,11,411,0.38,36.69
Property,2020,Tamil Nadu,High,9,530,0.88,18.49
Property,2015,Karnataka,Supreme,18,527,0.42,39.69
Criminal,2012,Tamil Nadu,High,4,636,0.65,33.43
Civil,2017,Maharashtra,Supreme,5,648,0.82,36.36
Commercial,2022,Maharashtra,Supreme,24,745,0.5,53.39
Family,2010,Karnataka,Supreme,20,471,0.38,40.0
Criminal,2022,Uttar Pradesh,High,38,714,0.53,49.92
Criminal,2016,Karnataka,High,25,434,0.61,42.58
Criminal,2017,Maharashtra,Supreme,19,384,0.67,46.82
Criminal,2017,Uttar Pradesh,District,14,719,0.35,38.72
Property,2015,Maharashtra,District,36,501,0.84,22.49
Criminal,2022,Maharashtra,High,32,340,0.34,46.26
Civil,2011,Karnataka,High,27,761,0.54,41.11
Property,2014,Karnataka,High,22,489,0.72,26.95
Commercial,2015,Delhi,High,12,662,0.73,35.01
Family,2013,Maharashtra,Supreme,19,440,0.69,37.41
Family,2022,Uttar Pradesh,High,22,670,0.72,28.29
Property,2023,Delhi,High,7,407,0.66,19.44
Civil,2016,Uttar Pradesh,Supreme,34,359,0.57,55.64
Civil,2018,Karnataka,High,35,588,0.52,46.19
Criminal,2022,Tamil Nadu,Supreme,20,550,0.54,51.11
Civil,2013,Karnataka,District,13,348,0.39,26.64
Family,2011,Karnataka,District,22,664,0.72,18.91
Family,2020,Delhi,Supreme,26,714,0.77,42.88
Commercial,2019,Tamil Nadu,District,20,794,0.84,26.95
Civil,2020,Delhi,High,37,401,0.77,39.13
Commercial,2015,Tamil Nadu,Supreme,16,401,0.74,39.81
Civil,2020,Karnataka,High,37,412,0.74,42.59
Commercial,2023,Karnataka,District,7,573,0.69,13.27
Commercial,2015,Delhi,District,24,311,0.46,30.11
Civil,2016,Uttar Pradesh,High,15,784,0.66,38.1
Commercial,2022,Tamil Nadu,District,38,301,0.81,29.45
Property,2014,Maharashtra,District,37,224,0.72,26.71
Commercial,2010,Karnataka,Supreme,14,768,0.57,42.53
Commercial,2023,Delhi,Supreme,14,210,0.57,38.01
Family,2023,Delhi,District,27,244,0.31,23.55
Family,2017,Delhi,District,5,241,0.67,8.5
Civil,2012,Tamil Nadu,Supreme,8,684,0.89,42.11
Family,2010,Maharashtra,High,13,608,0.69,29.84
Civil,2014,Uttar Pradesh,High,39,215,0.75,42.71
Civil,2015,Maharashtra,High,8,364,0.61,27.12
Civil,2021,Tamil Nadu,District,4,337,0.59,16.25
Property,2019,Delhi,District,20,730,0.47,18.2
Property,2022,Tamil Nadu,Supreme,36,243,0.33,48.06
Civil,2019,Uttar Pradesh,Supreme,29,718,0.78,54.83
Property,2017,Uttar Pradesh,District,20,480,0.34,20.52
Civil,2016,Maharashtra,High,6,537,0.42,29.37
Family,2014,Delhi,District,27,411,0.83,22.19
Criminal,2023,Maharashtra,District,13,352,0.63,27.3
Family,2013,Maharashtra,Supreme,18,695,0.64,42.86
Property,2018,Karnataka,Supreme,32,681,0.68,46.18
Property,2012,Karnataka,District,13,756,0.72,13.42
Commercial,2013,Maharashtra,Supreme,34,539,0.87,48.97
Criminal,2013,Maharashtra,District,30,596,0.47,44.01
Property,2017,Uttar Pradesh,High,27,228,0.83,26.35
Civil,2010,Karnataka,Supreme,34,430,0.87,54.56
Family,2018,Maharashtra,District,26,431,0.77,20.81
Commercial,2023,Delhi,District,9,230,0.51,16.08
Property,2014,Karnataka,Supreme,5,303,0.65,25.27
Criminal,2011,Tamil Nadu,District,17,646,0.45,33.72
Criminal,2013,Delhi,District,5,613,0.58,19.58
Family,2012,Maharashtra,Supreme,7,480,0.83,28.33
Civil,2016,Karnataka,Supreme,10,521,0.84,36.98
Criminal,2021,Karnataka,High,39,388,0.86,41.04
Family,2013,Delhi,High,30,488,0.62,30.44
Civil,2012,Maharashtra,District,35,778,0.75,44.92
Civil,2023,Tamil Nadu,District,16,606,0.61,29.67
Family,2021,Delhi,District,22,333,0.77,23.79
Property,2013,Maharashtra,Supreme,32,690,0.51,46.02
Property,2016,Tamil Nadu,High,7,661,0.55,21.48
Family,2023,Maharashtra,Supreme,19,464,0.52,41.29
Family,2018,Delhi,Supreme,21,467,0.8,39.75
Civil,2012,Maharashtra,Supreme,18,291,0.77,44.12
Criminal,2017,Karnataka,Supreme,33,629,0.79,54.86
Civil,2013,Uttar Pradesh,District,23,236,0.8,23.27
Commercial,2020,Delhi,Supreme,23,600,0.73,43.44
Commercial,2013,Tamil Nadu,District,33,717,0.31,41.45
Family,2014,Tamil Nadu,High,34,322,0.64,29.49
Civil,2010,Tamil Nadu,Supreme,37,794,0.44,58.23
Family,2015,Uttar Pradesh,District,22,789,0.58,24.09
Property,2018,Karnataka,High,23,491,0.73,33.56
Commercial,2018,Delhi,High,36,374,0.41,37.63
Property,2010,Delhi,High,4,757,0.59,24.47
Family,2019,Delhi,District,16,401,0.4,25.5
Commercial,2014,Uttar Pradesh,High,14,325,0.4,28.92
Criminal,2014,Karnataka,High,7,692,0.58,31.99
Property,2011,Maharashtra,District,6,368,0.79,13.01
Civil,2016,Maharashtra,District,20,414,0.37,27.09
Commercial,2012,Uttar Pradesh,District,35,747,0.41,41.99
Civil,2023,Maharashtra,District,29,323,0.31,30.82
Civil,2022,Tamil Nadu,Supreme,28,621,0.42,49.62
Property,2020,Uttar Pradesh,District,18,275,0.82,16.42
Criminal,2019,Tamil Nadu,District,20,585,0.9,29.25
Criminal,2021,Karnataka,High,11,799,0.83,31.57
Family,2019,Tamil Nadu,High,18,705,0.67,24.71
Civil,2015,Tamil Nadu,High,16,661,0.6,34.37
Property,2012,Maharashtra,Supreme,24,379,0.87,40.02
Commercial,2016,Tamil Nadu,High,29,538,0.72,36.82
Property,2017,Delhi,District,36,260,0.68,30.91
Property,2018,Maharashtra,High,9,672,0.36,22.92
Criminal,2022,Tamil Nadu,Supreme,8,362,0.42,42.24
Family,2012,Delhi,High,37,364,0.77,32.33
Property,2012,Maharashtra,Supreme,33,449,0.62,45.65
Property,2016,Delhi,High,25,464,0.51,24.1
Family,2020,Tamil Nadu,Supreme,30,415,0.62,43.27
Family,2010,Uttar Pradesh,Supreme,24,356,0.82,39.33
Civil,2011,Tamil Nadu,Supreme,12,762,0.33,50.71
Family,2013,Maharashtra,District,13,322,0.54,15.61
Civil,2016,Delhi,High,27,456,0.58,40.43
Commercial,2015,Maharashtra,High,8,347,0.43,26.74
Criminal,2023,Tamil Nadu,High,11,377,0.79,31.1
Criminal,2012,Delhi,High,17,304,0.81,30.39
Family,2020,Tamil Nadu,Supreme,27,554,0.52,42.15
Civil,2018,Delhi,Supreme,25,502,0.59,51.05
Commercial,2022,Delhi,High,12,561,0.53,27.86
Criminal,2017,Uttar Pradesh,District,3,375,0.69,20.44
Family,2022,Maharashtra,High,22,575,0.74,28.29
Criminal,2013,Delhi,District,7,722,0.65,24.3
Criminal,2022,Maharashtra,Supreme,21,437,0.54,44.21
Family,2023,Maharashtra,Supreme,4,409,0.76,33.9
Family,2011,Maharashtra,Supreme,35,393,0.69,49.74
Property,2013,Tamil Nadu,High,23,478,0.85,27.57
Civil,2015,Uttar Pradesh,High,4,650,0.88,19.83
Commercial,2014,Maharashtra,High,38,203,0.78,33.48
Commercial,2017,Karnataka,High,27,291,0.39,35.92
Property,2017,Uttar Pradesh,High,19,682,0.62,26.8
Commercial,2016,Tamil Nadu,District,25,302,0.62,25.57
Criminal,2022,Tamil Nadu,Supreme,26,351,0.69,45.71
Commercial,2013,Karnataka,High,27,429,0.4,36.18
Criminal,2016,Delhi,High,18,722,0.72,34.66
Criminal,2018,Karnataka,High,36,315,0.72,43.24
Property,2018,Maharashtra,Supreme,14,687,0.54,34.81
Criminal,2015,Uttar Pradesh,District,31,744,0.46,41.99
Civil,2015,Karnataka,High,12,262,0.41,29.91
Commercial,2012,Tamil Nadu,Supreme,13,709,0.79,38.3
Civil,2023,Delhi,High,39,449,0.89,43.1
Criminal,2015,Delhi,High,22,381,0.84,32.63
Property,2019,Uttar Pradesh,High,29,282,0.46,29.86
Family,2023,Delhi,District,39,766,0.83,35.42
Family,2019,Delhi,District,8,466,0.73,12.57
Property,2020,Tamil Nadu,District,38,431,0.72,30.38
Family,2022,Maharashtra,Supreme,24,583,0.58,40.22
Civil,2021,Uttar Pradesh,High,6,309,0.7,28.14
Property,2013,Uttar Pradesh,Supreme,14,218,0.34,36.16
Family,2023,Tamil Nadu,District,6,278,0.87,6.93
Property,2021,Maharashtra,Supreme,5,292,0.63,37.09
Civil,2011,Karnataka,High,12,530,0.45,31.06
Criminal,2017,Maharashtra,District,14,284,0.74,22.53
Commercial,2014,Tamil Nadu,Supreme,23,290,0.76,46.71
Family,2017,Karnataka,Supreme,11,218,0.38,31.99
Family,2016,Tamil Nadu,Supreme,6,232,0.85,26.75
Commercial,2019,Uttar Pradesh,High,33,518,0.86,38.1
Property,2019,Karnataka,High,33,522,0.85,34.86
Civil,2022,Maharashtra,High,23,519,0.78,32.84
Civil,2017,Uttar Pradesh,High,23,447,0.53,36.55
Commercial,2012,Maharashtra,High,39,607,0.47,44.78
Commercial,2018,Karnataka,Supreme,31,642,0.42,53.66
Commercial,2019,Delhi,District,20,345,0.6,29.89
Commercial,2013,Maharashtra,High,3,474,0.42,24.8
Civil,2021,Delhi,High,29,461,0.52,42.48
Civil,2010,Tamil Nadu,High,8,742,0.79,31.23
Criminal,2010,Maharashtra,High,25,480,0.42,45.26
Civil,2017,Karnataka,District,22,332,0.73,18.57
Property,2022,Uttar Pradesh,Supreme,3,774,0.52,33.43
Family,2019,Uttar Pradesh,District,9,583,0.83,15.02
Criminal,2019,Tamil Nadu,District,4,373,0.49,22.15
Civil,2012,Maharashtra,District,6,492,0.48,22.68
Commercial,2019,Delhi,District,26,215,0.49,25.68
Civil,2017,Karnataka,Supreme,21,671,0.84,43.16
Property,2012,Tamil Nadu,District,33,504,0.31,29.7
Commercial,2022,Karnataka,Supreme,28,212,0.77,47.01
Civil,2014,Karnataka,District,7,793,0.68,27.28
Commercial,2017,Tamil Nadu,High,22,276,0.64,28.41
Criminal,2018,Karnataka,District,38,447,0.64,36.28
Family,2015,Uttar Pradesh,District,8,528,0.53,12.17
Civil,2013,Delhi,District,20,723,0.36,37.22
Commercial,2020,Karnataka,High,3,598,0.47,23.81
Criminal,2010,Delhi,District,39,678,0.58,43.98
Property,2015,Karnataka,High,35,552,0.44,41.47
Criminal,2017,Delhi,High,27,574,0.75,45.72
Civil,2018,Uttar Pradesh,High,21,513,0.83,35.51
Commercial,2011,Tamil Nadu,High,14,426,0.63,22.53
Criminal,2010,Delhi,High,14,249,0.7,28.64
Family,2013,Uttar Pradesh,Supreme,15,653,0.33,42.77
Civil,2020,Uttar Pradesh,District,23,306,0.52,32.24
Property,2013,Delhi,High,23,732,0.4,34.31
Civil,2020,Karnataka,District,29,788,0.74,37.08
Criminal,2023,Tamil Nadu,District,39,775,0.78,43.47
Civil,2011,Delhi,Supreme,38,357,0.32,54.06
Property,2013,Uttar Pradesh,High,34,595,0.39,39.71
Property,2019,Maharashtra,District,31,230,0.31,25.84
Commercial,2015,Delhi,District,9,345,0.36,19.7
Civil,2020,Maharashtra,Supreme,14,229,0.57,39.97
Property,2012,Karnataka,Supreme,24,359,0.76,40.38
Criminal,2013,Karnataka,High,7,398,0.9,22.75
Family,2022,Karnataka,District,7,493,0.44,15.17
Criminal,2014,Maharashtra,District,34,489,0.35,37.39
Property,2016,Tamil Nadu,High,8,701,0.77,22.55
Civil,2021,Uttar Pradesh,District,18,528,0.71,29.63
Civil,2017,Uttar Pradesh,Supreme,12,401,0.38,41.6
Family,2012,Uttar Pradesh,District,8,629,0.59,16.88
Family,2017,Tamil Nadu,District,15,234,0.88,16.44
Civil,2020,Karnataka,High,24,690,0.38,40.82
Family,2016,Delhi,High,26,623,0.8,31.64
Property,2023,Maharashtra,District,32,206,0.7,27.07
Commercial,2018,Karnataka,High,29,717,0.45,40.83
Property,2022,Delhi,Supreme,33,265,0.6,42.67
Commercial,2020,Karnataka,Supreme,36,526,0.57,57.85
Criminal,2016,Karnataka,Supreme,13,505,0.43,44.68
Civil,2018,Maharashtra,District,37,628,0.42,42.06
Family,2011,Tamil Nadu,High,26,770,0.83,29.87
Family,2012,Karnataka,High,22,576,0.69,27.52
Criminal,2023,Tamil Nadu,Supreme,14,554,0.52,41.4
Property,2021,Delhi,High,13,775,0.89,19.73
Criminal,2010,Delhi,Supreme,4,314,0.37,43.94
Family,2015,Delhi,High,18,614,0.51,31.14
Commercial,2023,Tamil Nadu,Supreme,11,639,0.81,41.18
Criminal,2022,Uttar Pradesh,Supreme,24,554,0.56,54.09
Criminal,2021,Karnataka,District,28,282,0.76,28.23
Civil,2020,Delhi,District,15,404,0.59,26.72
Commercial,2013,Uttar Pradesh,Supreme,39,230,0.52,50.67
Family,2020,Maharashtra,High,15,597,0.75,21.89
Commercial,2011,Maharashtra,High,33,277,0.8,38.28
Criminal,2017,Karnataka,District,5,438,0.86,23.1
Civil,2010,Delhi,High,28,584,0.7,37.33
Criminal,2020,Uttar Pradesh,Supreme,5,252,0.31,42.43
Criminal,2023,Karnataka,Supreme,32,378,0.74,50.15
Family,2023,Delhi,High,23,567,0.57,31.02
Property,2011,Maharashtra,High,30,605,0.66,27.98
Commercial,2023,Uttar Pradesh,High,36,525,0.69,35.56
Civil,2021,Delhi,High,33,280,0.65,42.35
Family,2014,Karnataka,Supreme,4,267,0.35,26.54
Commercial,2014,Tamil Nadu,Supreme,27,744,0.43,53.22
Civil,2023,Delhi,High,19,385,0.35,38.36
Property,2011,Uttar Pradesh,High,34,351,0.45,31.39
Property,2017,Karnataka,Supreme,19,476,0.86,35.23
Criminal,2023,Uttar Pradesh,District,36,574,0.62,36.7
Family,2022,Delhi,District,18,768,0.66,22.14
Criminal,2021,Delhi,High,20,514,0.46,36.52
Criminal,2011,Maharashtra,Supreme,36,499,0.85,56.18
Civil,2017,Uttar Pradesh,Supreme,13,342,0.5,38.89
Civil,2018,Maharashtra,High,15,233,0.39,31.17
Family,2016,Delhi,High,6,332,0.78,15.79
Property,2020,Uttar Pradesh,Supreme,5,734,0.72,33.08
Criminal,2014,Tamil Nadu,Supreme,13,249,0.6,43.73
Civil,2013,Uttar Pradesh,Supreme,30,655,0.46,54.05
Family,2022,Delhi,High,23,203,0.47,28.0
Commercial,2010,Maharashtra,High,13,592,0.56,28.18
Civil,2017,Uttar Pradesh,Supreme,36,462,0.65,49.27
Criminal,2014,Karnataka,District,32,251,0.65,35.36
Criminal,2015,Delhi,Supreme,21,718,0.89,49.77
Property,2014,Maharashtra,Supreme,5,341,0.58,31.63
Criminal,2012,Tamil Nadu,Supreme,20,236,0.48,46.79
Civil,2021,Delhi,High,34,468,0.46,47.62
Property,2012,Uttar Pradesh,High,12,780,0.89,24.06
Criminal,2011,Maharashtra,Supreme,5,612,0.74,38.84
Property,2010,Delhi,District,6,592,0.43,17.42
Commercial,2013,Delhi,District,31,724,0.44,35.18
Criminal,2011,Uttar Pradesh,High,19,773,0.59,38.37
Property,2017,Maharashtra,District,24,308,0.54,25.66
Property,2015,Tamil Nadu,High,30,424,0.81,36.1
Family,2016,Delhi,Supreme,35,480,0.79,41.46
Criminal,2019,Uttar Pradesh,High,21,374,0.79,33.48
Criminal,2021,Maharashtra,High,22,637,0.4,38.16
Civil,2018,Maharashtra,High,18,642,0.48,39.24
Commercial,2011,Maharashtra,District,32,383,0.67,32.29
Property,2022,Karnataka,Supreme,36,387,0.71,37.58
Property,2013,Maharashtra,High,10,684,0.33,22.31
Commercial,2023,Tamil Nadu,District,5,209,0.6,8.81
Criminal,2021,Tamil Nadu,District,35,730,0.37,42.62
Family,2011,Delhi,District,36,256,0.71,22.95
Family,2018,Uttar Pradesh,District,22,240,0.79,18.44
Property,2019,Delhi,Supreme,15,303,0.83,35.55
Civil,2015,Karnataka,High,30,308,0.32,41.1
Criminal,2022,Delhi,High,30,608,0.72,38.56
Criminal,2015,Maharashtra,District,20,361,0.48,30.44
Property,2023,Tamil Nadu,Supreme,23,747,0.76,43.15
Commercial,2016,Karnataka,Supreme,21,595,0.75,41.41
Civil,2022,Maharashtra,High,39,343,0.74,35.7
Criminal,2020,Delhi,District,10,416,0.43,28.45
Civil,2017,Uttar Pradesh,Supreme,37,659,0.47,60.07
Criminal,2012,Uttar Pradesh,District,16,565,0.69,22.79
Property,2019,Maharashtra,High,7,760,0.31,30.39
Commercial,2018,Karnataka,District,13,274,0.42,16.79
Commercial,2021,Tamil Nadu,District,39,569,0.45,42.83
Family,2010,Maharashtra,High,38,546,0.87,32.97
Commercial,2013,Karnataka,District,24,438,0.72,26.12
Criminal,2013,Karnataka,District,14,714,0.8,26.31
Criminal,2018,Delhi,District,34,207,0.39,34.83
Civil,2012,Maharashtra,Supreme,17,357,0.73,41.97
Criminal,2019,Maharashtra,Supreme,28,570,0.63,52.38
Property,2019,Delhi,District,16,614,0.8,25.05
Commercial,2022,Delhi,District,12,245,0.59,22.9
Family,2019,Karnataka,District,14,772,0.52,20.32
Criminal,2021,Maharashtra,District,20,462,0.79,27.51
Property,2016,Delhi,High,15,676,0.74,26.29
Civil,2010,Karnataka,District,37,732,0.67,40.57
Property,2019,Uttar Pradesh,District,17,679,0.81,21.09
Commercial,2022,Maharashtra,High,22,329,0.62,31.42
Criminal,2015,Uttar Pradesh,District,12,792,0.4,28.79
Family,2022,Delhi,High,21,309,0.51,26.43
Commercial,2017,Maharashtra,Supreme,19,333,0.37,44.83
Civil,2020,Uttar Pradesh,High,24,786,0.71,37.18
Commercial,2023,Uttar Pradesh,High,32,218,0.67,35.94
Criminal,2010,Uttar Pradesh,High,31,426,0.37,41.98
Civil,2018,Uttar Pradesh,High,3,422,0.85,24.52
Family,2023,Delhi,High,37,699,0.45,40.26
Family,2017,Uttar Pradesh,Supreme,38,243,0.63,46.8
Commercial,2017,Maharashtra,District,29,329,0.75,33.0
Family,2019,Delhi,District,30,680,0.33,28.79
Family,2013,Karnataka,High,13,560,0.34,26.22
Commercial,2022,Karnataka,Supreme,39,775,0.89,51.79
Family,2022,Uttar Pradesh,Supreme,39,318,0.31,50.33
Commercial,2011,Karnataka,Supreme,10,302,0.75,35.08
Commercial,2023,Maharashtra,High,21,658,0.8,30.71
Commercial,2014,Delhi,High,7,517,0.6,24.44
Property,2020,Tamil Nadu,District,38,610,0.67,30.4
Property,2023,Maharashtra,Supreme,18,765,0.85,40.51
Family,2019,Uttar Pradesh,District,11,678,0.86,13.12
Civil,2021,Uttar Pradesh,Supreme,21,518,0.3,53.95
Criminal,2021,Uttar Pradesh,District,7,397,0.58,24.05
Civil,2020,Maharashtra,Supreme,38,406,0.81,54.5
Criminal,2016,Uttar Pradesh,District,20,228,0.65,26.55
Commercial,2015,Maharashtra,High,24,554,0.83,27.65
Family,2015,Uttar Pradesh,High,7,516,0.68,23.66
Civil,2010,Uttar Pradesh,District,35,622,0.78,32.85
Property,2016,Maharashtra,High,39,267,0.85,34.95
Civil,2018,Delhi,High,23,512,0.36,38.58
Property,2019,Maharashtra,District,33,418,0.83,21.58
Family,2010,Karnataka,District,35,531,0.89,27.1
Family,2022,Delhi,Supreme,18,491,0.66,39.5
Civil,2022,Maharashtra,District,23,795,0.65,35.52
Family,2012,Tamil Nadu,High,20,601,0.41,27.32
Property,2017,Tamil Nadu,Supreme,12,597,0.35,35.63
Criminal,2021,Uttar Pradesh,Supreme,32,255,0.82,54.54
Civil,2015,Uttar Pradesh,Supreme,24,705,0.67,52.69
Family,2018,Delhi,Supreme,23,647,0.34,41.97
Civil,2014,Tamil Nadu,District,24,548,0.43,33.13
Property,2021,Karnataka,High,28,584,0.47,35.91
Criminal,2020,Tamil Nadu,High,16,318,0.67,32.09
Property,2015,Maharashtra,Supreme,11,784,0.8,36.32
Civil,2018,Uttar Pradesh,High,6,330,0.73,27.6
Property,2022,Tamil Nadu,Supreme,23,765,0.84,40.43
Family,2011,Karnataka,High,9,465,0.45,21.22
Property,2012,Delhi,Supreme,13,373,0.83,37.8
Civil,2018,Karnataka,Supreme,15,339,0.84,43.04
Civil,2023,Uttar Pradesh,High,22,475,0.46,39.82
Criminal,2018,Delhi,District,17,651,0.53,35.24
Commercial,2023,Maharashtra,High,13,236,0.73,23.03
Property,2022,Maharashtra,Supreme,34,560,0.75,45.23
Criminal,2018,Maharashtra,District,26,422,0.66,26.11
Commercial,2023,Karnataka,High,35,781,0.35,48.28
